station,duration,IGS08LAT,IGS08LONG,IGS08ELIPHT,avgambfixed,avgbaselinelength(km),sigman95,sigmae95,sigmah95,NominalT,dn (cm),de (cm),dh (cm)
Y683,2.016666667,44.6891476,-123.2189187,71.62093927,0.894,752.602,0.01,0.008,0.034,2,0.17,0.17,-0.51
Y683,2.016666667,44.68914763,-123.2189187,71.622747,0.875,817.976,0.009,0.008,0.035,2,0.56,-0.16,-0.33
Y683,2.016666667,44.68914756,-123.2189187,71.62957028,0.923,750.843,0.008,0.009,0.03,2,-0.26,0.41,0.36
Y683,2.016666667,44.68914764,-123.2189187,71.60954912,0.946,813.127,0.008,0.009,0.026,2,0.6,0.4,-1.65
Y683,2.016666667,44.68914758,-123.2189187,71.61584399,0.918,750.843,0.009,0.01,0.03,2,-0.03,0.14,-1.02
Y683,2.016666667,44.6891476,-123.2189188,71.60567688,0.896,813.127,0.01,0.01,0.035,2,0.14,-0.41,-2.03
Y683,2.016666667,44.6891476,-123.2189187,71.62369842,0.914,764.54,0.009,0.01,0.03,2,0.18,-0.31,-0.23
Y683,2.016666667,44.68914762,-123.2189187,71.63120554,0.894,752.602,0.008,0.009,0.029,2,0.42,0.05,0.52
Y683,2.016666667,44.6891477,-123.2189186,71.59131223,0.876,817.976,0.01,0.012,0.035,2,1.28,0.55,-3.47
Y683,2.016666667,44.68914757,-123.2189188,71.6082401,0.907,750.843,0.009,0.01,0.029,2,-0.12,-0.41,-1.78
Y683,2.016666667,44.68914759,-123.2189187,71.62529849,0.936,813.127,0.008,0.009,0.03,2,0.02,0.08,-0.07
Y683,2.016666667,44.68914759,-123.2189187,71.61224265,0.862,813.127,0.013,0.022,0.048,2,0.05,-0.3,-1.38
Y683,2.016666667,44.68914758,-123.2189188,71.62325506,0.894,764.54,0.01,0.012,0.034,2,-0.06,-0.7,-0.27
Y683,2.016666667,44.6891476,-123.2189187,71.62223729,0.882,752.602,0.012,0.009,0.029,2,0.19,0.22,-0.38
Y683,2.016666667,44.68914767,-123.2189187,71.64617762,0.891,817.976,0.009,0.01,0.025,2,0.91,0.05,2.02
Y683,2.016666667,44.68914763,-123.2189188,71.62978968,0.919,750.843,0.009,0.01,0.03,2,0.56,-0.56,0.38
Y683,2.016666667,44.6891475,-123.2189187,71.59774509,0.921,807.823,0.01,0.01,0.03,2,-0.91,0.06,-2.83
Y683,2.016666667,44.68914758,-123.2189187,71.66121199,0.875,813.127,0.01,0.011,0.031,2,-0.01,-0.02,3.52
Y683,2.016666667,44.68914759,-123.2189188,71.62653327,0.898,750.843,0.009,0.01,0.031,2,0.04,-0.95,0.05
Y683,2.016666667,44.68914757,-123.2189186,71.64998257,0.903,752.602,0.008,0.008,0.022,2,-0.17,0.48,2.4
Y683,2.016666667,44.68914763,-123.2189186,71.65722045,0.88,817.976,0.008,0.007,0.026,2,0.52,0.62,3.12
Y683,2.016666667,44.68914758,-123.2189187,71.6145249,0.915,750.843,0.009,0.008,0.03,2,-0.04,-0.27,-1.15
Y683,2.016666667,44.68914751,-123.2189188,71.62071126,0.925,807.823,0.01,0.009,0.031,2,-0.79,-0.48,-0.53
Y683,2.016666667,44.68914754,-123.2189187,71.64177219,0.86,813.127,0.01,0.01,0.034,2,-0.48,0.12,1.58
Y683,2.016666667,44.68914755,-123.2189187,71.65938318,0.89,750.843,0.01,0.008,0.028,2,-0.39,-0.05,3.34
Y683,2.016666667,44.68914754,-123.2189186,71.6535511,0.883,752.602,0.008,0.007,0.027,2,-0.52,0.81,2.76
Y683,2.016666667,44.68914758,-123.2189185,71.6799126,0.83,807.516,0.009,0.008,0.024,2,-0.03,1.57,5.39
B726,3,44.64840742,-123.062661,42.06965567,0.924,759.471,0.007,0.008,0.022,3,0.33,0.93,1.57
B726,3,44.64840747,-123.0626605,41.99108811,0.88,764.775,0.008,0.014,0.03,3,0.92,4.66,-6.29
B726,3,44.64840747,-123.0626611,42.05210896,0.901,751.006,0.007,0.007,0.026,3,0.94,-0.16,-0.19
B726,3,44.64840748,-123.0626612,42.07566,0.859,818.211,0.006,0.007,0.026,3,1,-0.65,2.17
B726,3,44.64840737,-123.0626608,42.07640502,0.86,751.078,0.009,0.009,0.03,3,-0.2,2.56,2.24
B726,3,44.64840745,-123.0626606,42.06446393,0.868,764.775,0.008,0.023,0.035,3,0.7,4.1,1.05
B726,3,44.64840739,-123.0626611,42.08857396,0.889,752.837,0.007,0.007,0.022,3,0.01,0.17,3.46
B726,3,44.64840728,-123.0626611,42.0145103,0.874,818.211,0.009,0.01,0.026,3,-1.25,-0.06,-3.95
B726,3,44.64840728,-123.0626612,42.02801214,0.862,751.078,0.008,0.007,0.022,3,-1.18,-0.54,-2.6
B726,3,44.64840713,-123.0626612,42.01859725,0.885,751.078,0.008,0.009,0.029,3,-2.92,-0.66,-3.54
B726,3,44.64840722,-123.062661,42.05511339,0.897,752.837,0.007,0.007,0.018,3,-1.89,0.68,0.11
B726,3,44.64840735,-123.0626607,42.08829908,0.86,818.211,0.009,0.014,0.033,3,-0.39,3.44,3.43
BICK,3,44.48952025,-123.2807105,51.97046106,0.913,809.321,0.007,0.006,0.023,3,-1.47,0.7,1.05
BICK,3,44.48952033,-123.2807106,51.95667282,0.881,807.49,0.007,0.006,0.021,3,-0.54,0.46,-0.33
BICK,3,44.48952021,-123.2807108,51.99829276,0.906,752.341,0.008,0.009,0.024,3,-1.82,-1.43,3.83
BICK,3,44.48952027,-123.2807105,51.97287271,0.915,814.625,0.006,0.006,0.023,3,-1.15,0.78,1.29
BICK,3,44.48952032,-123.2807105,51.9686343,0.907,750.51,0.007,0.006,0.024,3,-0.59,0.92,0.86
BICK,2.991666667,44.4895203,-123.2807106,51.97098306,0.928,814.625,0.006,0.006,0.025,3,-0.82,0.42,1.1
BICK,3,44.48952033,-123.2807106,51.95348212,0.938,750.51,0.006,0.006,0.021,3,-0.51,0.29,-0.65
BICK,3,44.48952036,-123.2807106,51.96612989,0.894,780.924,0.008,0.008,0.024,3,-0.21,0.15,0.61
BICK,3,44.48952032,-123.2807106,51.97067762,0.92,789.317,0.008,0.007,0.026,3,-0.65,0.09,1.07
BICK,3,44.48952031,-123.2807106,51.9545521,0.916,762.494,0.006,0.007,0.022,3,-0.75,0.1,-0.54
BICK,3,44.48952035,-123.2807107,51.9587384,0.92,809.321,0.006,0.006,0.022,3,-0.32,-0.26,-0.13
BICK,3,44.48952037,-123.2807107,51.9589472,0.879,809.321,0.006,0.006,0.021,3,-0.06,-0.37,-0.11
BICK,3,44.48952034,-123.2807107,51.93493433,0.889,752.341,0.007,0.007,0.022,3,-0.37,-0.64,-2.51
BICK,3,44.4895203,-123.2807106,51.97156106,0.918,809.321,0.006,0.007,0.022,3,-0.88,0.12,1.16
BICK,3,44.48952027,-123.2807106,51.95353812,0.9,752.341,0.006,0.007,0.023,3,-1.21,0.26,-0.65
BICK,3,44.48952028,-123.2807106,51.96927218,0.936,814.625,0.006,0.006,0.021,3,-1.08,0.34,0.93
BICK,3,44.48952031,-123.2807106,51.96311797,0.921,752.341,0.006,0.006,0.02,3,-0.75,0.26,0.31
BICK,3,44.48952026,-123.2807106,51.97254502,0.887,814.625,0.008,0.01,0.026,3,-1.26,0.34,1.25
BICK,3,44.48952033,-123.2807107,51.95494745,0.886,766.038,0.007,0.008,0.026,3,-0.51,-0.23,-0.51
BICK,3,44.48952029,-123.2807106,51.96099726,0.91,754.101,0.007,0.008,0.025,3,-0.96,-0.1,0.1
BICK,3,44.48952034,-123.2807106,51.95993116,0.924,809.321,0.007,0.007,0.02,3,-0.44,-0.15,-0.01
BICK,3,44.48952035,-123.2807105,51.98445438,0.867,809.321,0.008,0.008,0.022,3,-0.32,0.59,2.45
BICK,3,44.48952034,-123.2807106,51.9729665,0.891,752.341,0.008,0.007,0.02,3,-0.46,-0.13,1.3
BICK,3,44.48952034,-123.2807107,51.96209726,0.922,809.321,0.008,0.008,0.021,3,-0.37,-0.68,0.21
BICK,3,44.48952029,-123.2807107,51.9650569,0.92,752.341,0.007,0.007,0.02,3,-0.94,-0.52,0.51
BICK,3,44.48952031,-123.2807107,51.94746994,0.945,809.321,0.007,0.007,0.019,3,-0.76,-0.23,-1.25
