station,duration,IGS08LAT,IGS08LONG,IGS08ELIPHT,cp_mean(m),cp_std(m),sigmax(m),sigmay(m),sigmaz(m),NominalT,dn (cm),de (cm),dh (cm)
LBCC,2.01250,44.58498569,-123.1181761,46.94398003,-0.0010,0.0350,0.0069,0.0052,0.0057,2,-0.19,1.82,-0.60
LBCC,2.01250,44.58498564,-123.1181762,46.95332302,0.0010,0.0250,0.0066,0.0061,0.0053,2,-0.69,1.09,0.33
LBCC,2.01250,44.58498561,-123.118176,46.96693235,0.0000,0.0260,0.0064,0.0054,0.0056,2,-1.03,2.65,1.69
LBCC,2.01250,44.58498577,-123.1181762,46.96873906,0.0000,0.0220,0.0080,0.0063,0.0054,2,0.78,1.23,1.87
LBCC,2.01250,44.58498576,-123.1181762,46.96064813,0.0000,0.0240,0.0079,0.0064,0.0055,2,0.58,0.87,1.06
LBCC,2.01250,44.58498575,-123.118176,46.9572679,0.0000,0.0230,0.0124,0.0055,0.0062,2,0.55,2.61,0.73
LBCC,2.01250,44.58498565,-123.1181765,46.96822122,0.0010,0.0230,0.0084,0.0064,0.0056,2,-0.60,-1.48,1.82
LBCC,2.01250,44.58498575,-123.1181763,46.94884005,0.0000,0.0290,0.0126,0.0059,0.0062,2,0.50,0.46,-0.12
LBCC,2.01250,44.58498574,-123.1181761,46.95105309,0.0000,0.0350,0.0105,0.0051,0.0066,2,0.42,1.71,0.11
LBCC,2.00833,44.5849858,-123.1181756,46.9392369,0.0000,0.0290,0.0125,0.0055,0.0061,2,1.05,5.56,-1.08
LBCC,2.01250,44.58498566,-123.118176,46.98054065,0.0000,0.0260,0.0091,0.0056,0.0067,2,-0.48,2.70,3.05
LBCC,2.01250,44.58498565,-123.1181761,46.98985159,0.0000,0.0300,0.0092,0.0056,0.0067,2,-0.63,1.84,3.99
LBCC,2.01250,44.58498558,-123.1181761,46.98172766,0.0000,0.0230,0.0098,0.0145,0.0093,2,-1.40,1.77,3.17
U727,1.89583,44.59391663,-123.5471753,204.432403,0.0000,0.0220,0.0055,0.0123,0.0065,2,-1.41,5.07,3.44
U727,2.01250,44.59391675,-123.5471759,204.4419489,0.0000,0.0200,0.0057,0.0066,0.0057,2,-0.13,0.26,4.39
U727,1.89583,44.59391663,-123.5471753,204.432403,0.0000,0.0220,0.0055,0.0123,0.0065,2,-1.41,5.07,3.44
U727,2.01250,44.59391681,-123.547176,204.410447,0.0000,0.0250,0.0071,0.0085,0.0076,2,0.59,-0.52,1.24
U727,2.01250,44.5939169,-123.5471756,204.3792341,0.0010,0.0240,0.0153,0.0097,0.0079,2,1.56,2.63,-1.88
U727,2.01250,44.59391691,-123.5471758,204.3828783,-0.0010,0.0390,0.0087,0.0091,0.0073,2,1.65,1.25,-1.51
U727,2.01250,44.59391698,-123.5471759,204.3918779,0.0000,0.0210,0.0077,0.0090,0.0079,2,2.48,0.13,-0.61
U727,2.01250,44.5939165,-123.5471765,204.458353,-0.0010,0.0370,0.0176,0.0077,0.0082,2,-2.90,-4.11,6.04
U727,2.01250,44.59391676,-123.5471758,204.3908806,0.0000,0.0310,0.0082,0.0063,0.0077,2,-0.04,0.90,-0.71
U727,2.01250,44.59391689,-123.5471759,204.3781064,-0.0020,0.0270,0.0173,0.0061,0.0086,2,1.39,0.40,-1.99
U727,2.01250,44.59391673,-123.5471763,204.4048783,-0.0010,0.0260,0.0180,0.0071,0.0083,2,-0.30,-3.15,0.69
U727,2.01250,44.59391684,-123.547176,204.3988934,0.0000,0.0220,0.0076,0.0062,0.0071,2,0.87,-0.68,0.09
U727,2.01250,44.59391676,-123.5471758,204.3905364,-0.0010,0.0250,0.0124,0.0056,0.0065,2,-0.05,1.17,-0.75
U727,2.01250,44.59391677,-123.5471757,204.3942614,0.0010,0.0230,0.0074,0.0073,0.0058,2,0.13,2.24,-0.37
U727,2.01250,44.59391684,-123.5471759,204.3778341,0.0000,0.0250,0.0069,0.0064,0.0064,2,0.84,0.36,-2.02
U727,2.01250,44.59391677,-123.5471757,204.3823753,-0.0010,0.0220,0.0114,0.0053,0.0064,2,0.15,1.88,-1.56
U727,2.01250,44.59391676,-123.547176,204.4059937,0.0000,0.0220,0.0105,0.0153,0.0098,2,0.04,-0.13,0.80
U727,2.01250,44.5939167,-123.5471757,204.3936351,-0.0010,0.0200,0.0100,0.0065,0.0078,2,-0.65,1.77,-0.44
Y683,1.89583,44.68914746,-123.2189183,71.74162928,-0.0030,0.0630,0.0048,0.0105,0.0055,2,-1.33,2.98,11.56
